,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,tuktoyaktuk,69.4541,-133.0374,-2.2,84,1,6.91,CA,1610116754
85,east london,-33.0153,27.9116,77.0,73,75,10.36,ZA,1610116754
86,kajaani,64.2273,27.7285,8.6,85,90,1.14,FI,1610116754
87,rolla,37.9514,-91.7713,30.99,86,90,9.22,US,1610116754
88,saint-pierre,-21.3393,55.4781,82.4,65,0,13.8,RE,1610116754
89,ribeira grande,38.5167,-28.7,57.2,72,40,10.36,PT,1610116754
90,bredasdorp,-34.5322,20.0403,77.0,53,5,12.66,ZA,1610116754
91,waipawa,-41.4122,175.5153,59.0,77,90,13.8,NZ,1610116754
92,ganderkesee,53.0333,8.5333,36.0,87,40,6.91,DE,1610116755
93,riverton,40.5219,-111.9391,28.0,93,40,2.86,US,1610116755
94,zeya,53.75,127.2667,-18.44,84,100,0.83,RU,1610116755
95,bardiyah,31.7561,25.0865,64.63,65,0,5.39,LY,1610116755
96,georgetown,5.4112,100.3354,82.99,69,20,9.22,MY,1610116755
97,saint-philippe,-21.3585,55.7679,82.4,65,0,13.8,RE,1610116755
98,valparaiso,-33.0393,-71.6273,61.0,100,90,6.91,CL,1610116755
99,kelowna,49.8831,-119.4857,30.99,100,1,2.3,CA,1610116567
100,san ignacio,17.1561,-89.0714,72.0,94,75,1.68,BZ,1610116755
101,zhangjiakou,40.81,114.8794,2.93,78,7,7.9,CN,1610116755
102,batemans bay,-35.7167,150.1833,62.01,93,96,2.62,AU,1610116755
103,bijar,35.8668,47.6051,26.69,82,0,1.77,IR,1610116629
104,leo,11.1,-2.1,99.59,8,0,12.44,BF,1610116755
105,fuerte olimpo,-21.0415,-57.8738,86.38,65,80,4.18,PY,1610116755
106,huarmey,-10.0681,-78.1522,74.77,68,35,8.99,PE,1610116755
107,dunmore town,25.5,-76.65,75.29,75,89,17.27,BS,1610116756
108,berlevag,70.8578,29.0864,21.2,63,0,34.52,NO,1610116756
109,mahanje,-9.9333,35.3333,77.7,80,94,3.06,TZ,1610116756
110,turukhansk,65.8167,87.9833,-16.83,85,92,12.06,RU,1610116756
111,faanui,-16.4833,-151.75,79.68,75,3,14.32,PF,1610116756
112,sabya,17.1495,42.6254,82.4,65,20,13.8,SA,1610116756
113,upernavik,72.7868,-56.1549,3.61,83,100,8.48,GL,1610116756
114,leh,34.1667,77.5833,9.82,71,66,3.4,IN,1610116756
115,dingle,10.9995,122.6711,75.61,93,87,8.01,PH,1610116756
116,karasburg,-28.0167,18.75,94.57,19,47,4.16,NA,1610116756
117,beldanga,23.9333,88.25,70.03,44,0,6.26,IN,1610116580
118,iskitim,54.6366,83.3045,-11.2,77,30,11.18,RU,1610116757
119,ternate,0.8,127.4,80.65,80,100,5.26,ID,1610116757
120,luangwa,-15.6167,30.4167,87.62,64,75,3.22,ZM,1610116564
121,tuatapere,-46.1333,167.6833,55.0,77,70,10.0,NZ,1610116757
122,yellowknife,62.456,-114.3525,-7.6,77,1,5.75,CA,1610116593
123,anadyr,64.75,177.4833,-20.2,76,0,8.95,RU,1610116757
124,seymchan,62.8833,152.4333,-31.04,83,13,0.69,RU,1610116757
125,road town,18.4167,-64.6167,82.4,69,20,6.91,VG,1610116757
126,vestmanna,62.1564,-7.1664,39.2,93,75,17.27,FO,1610116757
127,torbay,47.6666,-52.7314,41.0,100,75,24.16,CA,1610116518
128,roma,43.2128,-75.4557,19.4,73,90,8.05,US,1610116685
129,saldanha,-33.0117,17.9442,80.6,41,0,19.57,ZA,1610116757
130,pucallpa,-8.3791,-74.5539,78.8,83,75,4.61,PE,1610116757
131,san patricio,28.017,-97.5169,42.8,87,1,4.61,US,1610116757
132,kaka,37.3482,59.6143,32.95,82,0,11.3,TM,1610116643
133,dehloran,32.6941,47.2679,60.06,32,0,2.68,IR,1610116757
134,aksu,41.1231,80.2644,13.21,87,69,1.99,CN,1610116757
135,dawson,31.7735,-84.4466,48.2,93,90,5.75,US,1610116758
